#Data tag : 19v3 , Norm tag: None
run:fill,ls,time,hltpath,delivered(/fb),recorded(/fb),avgpu,source
315974:6659,21:21,05/09/18 05:24:55,HLT_Mu8p5_IP3p5_part5_v1,0.000045351,0.000044389,32.7,HFOC
315974:6659,22:22,05/09/18 05:25:18,HLT_Mu8p5_IP3p5_part5_v1,0.000045187,0.000044239,32.5,HFOC
315974:6659,23:23,05/09/18 05:25:42,HLT_Mu8p5_IP3p5_part5_v1,0.000045167,0.000044220,32.5,HFOC
315974:6659,24:24,05/09/18 05:26:05,HLT_Mu8p5_IP3p5_part5_v1,0.000045044,0.000044104,32.4,HFOC
315974:6659,25:25,05/09/18 05:26:28,HLT_Mu8p5_IP3p5_part5_v1,0.000044977,0.000044039,32.4,HFOC
315974:6659,26:26,05/09/18 05:26:52,HLT_Mu8p5_IP3p5_part5_v1,0.000044955,0.000044015,32.4,HFOC
315974:6659,27:27,05/09/18 05:27:15,HLT_Mu8p5_IP3p5_part5_v1,0.000044964,0.000044018,32.4,HFOC
315974:6659,28:28,05/09/18 05:27:38,HLT_Mu8p5_IP3p5_part5_v1,0.000044999,0.000042743,32.4,HFOC
315974:6659,29:29,05/09/18 05:28:02,HLT_Mu8p5_IP3p5_part5_v1,0.000044968,0.000044021,32.4,HFOC
315974:6659,30:30,05/09/18 05:28:25,HLT_Mu8p5_IP3p5_part5_v1,0.000044922,0.000043984,32.3,HFOC
315974:6659,31:31,05/09/18 05:28:48,HLT_Mu8p5_IP3p5_part5_v1,0.000044893,0.000043961,32.3,HFOC
315974:6659,32:32,05/09/18 05:29:12,HLT_Mu8p5_IP3p5_part5_v1,0.000044853,0.000043915,32.3,HFOC
315974:6659,33:33,05/09/18 05:29:35,HLT_Mu8p5_IP3p5_part5_v1,0.000044836,0.000043900,32.3,HFOC
315974:6659,34:34,05/09/18 05:29:58,HLT_Mu8p5_IP3p5_part5_v1,0.000044829,0.000043887,32.3,HFOC
315974:6659,35:35,05/09/18 05:30:21,HLT_Mu8p5_IP3p5_part5_v1,0.000044800,0.000043866,32.3,HFOC
315974:6659,36:36,05/09/18 05:30:45,HLT_Mu8p5_IP3p5_part5_v1,0.000044773,0.000043838,32.2,HFOC
315974:6659,37:37,05/09/18 05:31:08,HLT_Mu8p5_IP3p5_part5_v1,0.000044741,0.000043810,32.2,HFOC
315974:6659,38:38,05/09/18 05:31:31,HLT_Mu8p5_IP3p5_part5_v1,0.000044714,0.000043103,32.2,HFOC
315974:6659,39:39,05/09/18 05:31:55,HLT_Mu8p5_IP3p5_part5_v1,0.000044692,0.000043761,32.2,HFOC
315974:6659,40:40,05/09/18 05:32:18,HLT_Mu8p5_IP3p5_part5_v1,0.000044659,0.000043107,32.2,HFOC
315974:6659,41:41,05/09/18 05:32:41,HLT_Mu8p5_IP3p5_part5_v1,0.000044630,0.000043704,32.1,HFOC
315974:6659,42:42,05/09/18 05:33:05,HLT_Mu8p5_IP3p5_part5_v1,0.000044596,0.000043670,32.1,HFOC
315974:6659,43:43,05/09/18 05:33:28,HLT_Mu8p5_IP3p5_part5_v1,0.000044567,0.000043639,32.1,HFOC
315974:6659,44:44,05/09/18 05:33:51,HLT_Mu8p5_IP3p5_part5_v1,0.000044533,0.000043607,32.1,HFOC
315974:6659,45:45,05/09/18 05:34:15,HLT_Mu8p5_IP3p5_part5_v1,0.000044512,0.000043589,32.1,HFOC
315974:6659,46:46,05/09/18 05:34:38,HLT_Mu8p5_IP3p5_part5_v1,0.000044495,0.000043576,32.0,HFOC
315974:6659,47:47,05/09/18 05:35:01,HLT_Mu8p5_IP3p5_part5_v1,0.000044472,0.000043550,32.0,HFOC
315974:6659,48:48,05/09/18 05:35:25,HLT_Mu8p5_IP3p5_part5_v1,0.000044460,0.000043537,32.0,HFOC
315974:6659,49:49,05/09/18 05:35:48,HLT_Mu8p5_IP3p5_part5_v1,0.000044418,0.000043495,32.0,HFOC
315974:6659,50:50,05/09/18 05:36:11,HLT_Mu8p5_IP3p5_part5_v1,0.000044367,0.000043447,31.9,HFOC
315974:6659,51:51,05/09/18 05:36:34,HLT_Mu8p5_IP3p5_part5_v1,0.000044353,0.000043433,31.9,HFOC
315974:6659,52:52,05/09/18 05:36:58,HLT_Mu8p5_IP3p5_part5_v1,0.000044334,0.000043417,31.9,HFOC
315974:6659,53:53,05/09/18 05:37:21,HLT_Mu8p5_IP3p5_part5_v1,0.000044309,0.000043325,31.9,HFOC
315974:6659,54:54,05/09/18 05:37:44,HLT_Mu8p5_IP3p5_part5_v1,0.000044287,0.000043371,31.9,HFOC
315974:6659,55:55,05/09/18 05:38:08,HLT_Mu8p5_IP3p5_part5_v1,0.000044252,0.000043341,31.9,HFOC
315974:6659,56:56,05/09/18 05:38:31,HLT_Mu8p5_IP3p5_part5_v1,0.000044218,0.000043297,31.8,HFOC
315974:6659,57:57,05/09/18 05:38:54,HLT_Mu8p5_IP3p5_part5_v1,0.000044185,0.000043274,31.8,HFOC
315974:6659,58:58,05/09/18 05:39:18,HLT_Mu8p5_IP3p5_part5_v1,0.000044191,0.000043283,31.8,HFOC
315974:6659,59:59,05/09/18 05:39:41,HLT_Mu8p5_IP3p5_part5_v1,0.000044309,0.000043392,31.9,HFOC
315974:6659,60:60,05/09/18 05:40:04,HLT_Mu8p5_IP3p5_part5_v1,0.000044264,0.000043348,31.9,HFOC
315974:6659,61:61,05/09/18 05:40:27,HLT_Mu8p5_IP3p5_part5_v1,0.000044240,0.000043322,31.9,HFOC
315974:6659,62:62,05/09/18 05:40:51,HLT_Mu8p5_IP3p5_part5_v1,0.000044213,0.000043294,31.8,HFOC
315974:6659,63:63,05/09/18 05:41:14,HLT_Mu8p5_IP3p5_part5_v1,0.000044191,0.000043281,31.8,HFOC
315974:6659,64:64,05/09/18 05:41:37,HLT_Mu8p5_IP3p5_part5_v1,0.000044179,0.000043264,31.8,HFOC
315974:6659,65:65,05/09/18 05:42:01,HLT_Mu8p5_IP3p5_part5_v1,0.000044160,0.000042634,31.8,HFOC
315974:6659,66:66,05/09/18 05:42:24,HLT_Mu8p5_IP3p5_part5_v1,0.000044139,0.000043223,31.8,HFOC
315974:6659,67:67,05/09/18 05:42:47,HLT_Mu8p5_IP3p5_part5_v1,0.000044125,0.000043217,31.8,HFOC
